,user,session,unprompted,refused,accepted
1,FB,1,1,0,0
2,JW,1,1,0,0
3,GB,1,1,0,0
4,FB,2,1,0,0
5,DP,1,1,0,0
6,LB,2,1,0,0
7,DP,2,1,0,0
8,JF,1,1,0,0
9,JW,2,1,0,0
10,GB,2,1,0,0
11,FB,3,1,0,0
12,JF,2,1,0,0
13,LB,3,1,0,0
14,DP,3,1,0,0
15,MB,1,1,0,0
16,JF,3,1,0,0
17,GB,3,1,0,0
18,DB,1,1,0,0
19,LB,4,1,0,0
20,DP,4,1,0,0
21,FB,4,1,0,0
22,JF,4,1,0,0
23,JW,4,1,0,0
24,GB,4,1,0,0
25,DB,2,1,0,0
26,FB,5,1,0,0
27,MB,2,1,0,0
28,JW,5,1,0,0
29,MR,1,1,0,0
30,DB,3,1,0,0
31,DP,5,1,0,0
32,LB,5,1,0,0
33,DP,6,1,0,0
34,MB,3,0.4,0.453333,0.146667
35,GB,6,1,0,0
36,MR,2,0.540984,0.42623,0.032787
37,DB,4,1,0,0
38,LB,6,1,0,0
39,DP,7,1,0,0
40,JW,6,1,0,0
41,MB,4,1,0,0
42,MR,3,1,0,0
43,JF,6,1,0,0
44,PT,1,1,0,0
45,LB,7,1,0,0
46,DP,8,1,0,0
47,MR,4,0.259542,0.633588,0.10687
48,JF,7,0.366667,0.588889,0.044444
49,DB,5,0.434783,0.478261,0.434783
50,MB,5,0.45679,0.493827,0.049383
51,PT,2,0.32,0.56,0.12
52,PT,3,1,0,0
53,JW,7,0.34375,0.59375,0.0625
54,LB,8,0.472973,0.445946,0.081081
55,DP,9,0.322581,0.596774,0.080645
56,MB,6,1,0,0
57,DB,6,1,0,0
58,LB,9,0.278846,0.625,0.096154
59,JF,8,1,0,0
60,JW,8,1,0,0
61,DP,10,1,0,0
62,MR,5,1,0,0
63,PT,4,1,0,0
64,DB,7,1,0,0
65,LB,10,1,0,0
66,MR,6,0.4,0.552381,0.047619
67,DP,11,0.421875,0.515625,0.0625
68,JW,9,0.333333,0.598039,0.068627
69,GB,7,1,0,0
70,DP,12,0.796875,0.109375,0.09375
71,MR,7,1,0,0
72,LB,11,0.676923,0.230769,0.092308
73,GB,8,0.657143,0.3,0.042857
74,JW,10,0.740741,0.222222,0.037037
75,FB,6,0.676923,0.307692,0.015385
76,MR,8,0.8,0.181818,0.018182
77,JW,11,0.826087,0.173913,0
78,JF,9,0.582278,0.35443,0.063291
79,MR,9,0.578313,0.361446,0.060241
80,MB,8,1,0,0
81,PT,5,1,0,0
82,DB,9,0.719298,0.280702,0
83,LB,12,0.638298,0.329787,0.031915
84,DP,13,0.731707,0.243902,0.02439
85,MR,10,0.65,0.3125,0.0375
86,JF,10,1,0,0
87,JW,12,0.352,0.6,0.048
88,GB,9,0.489583,0.489583,0.020833
89,MB,9,0.488636,0.5,0.011364
90,PT,7,1,0,0
91,DP,14,0.732394,0.225352,0.042254
92,FB,8,0.47191,0.505618,0.022472
93,MR,11,0.415385,0.515385,0.069231
94,PT,8,0.455556,0.444444,0.1
95,LB,13,0.434109,0.511628,0.054264
96,DP,15,1,0,0
97,JF,11,0.474074,0.511111,0.014815
98,GB,10,1,0,0
99,JW,13,0.586957,0.391304,0.021739
100,LB,14,0.40678,0.525424,0.067797
101,DP,16,0.742857,0.238095,0.019048
102,FB,9,0.43299,0.515464,0.051546
103,PT,9,0.485149,0.475248,0.039604
104,GB,11,0.504202,0.462185,0.033613
105,MB,10,0.448276,0.491379,0.060345
106,FB,10,0.393162,0.555556,0.051282
107,GB,12,0.438596,0.526316,0.035088
108,JF,12,0.420635,0.507937,0.071429
109,DB,10,0.556701,0.391753,0.051546
110,LB,15,0.336634,0.623762,0.039604
111,DP,17,1,0,0
112,JF,13,0.42,0.52,0.06
113,GB,13,0.431579,0.515789,0.052632
114,PT,10,0.537037,0.444444,0.018519
115,PT,11,1,0,0
116,JF,14,0.354167,0.5625,0.083333
117,GB,14,0.803922,0.137255,0.058824
118,FB,11,0.673077,0.230769,0.096154
119,DB,11,0.65,0.233333,0.116667
120,DP,18,0.260417,0.625,0.114583
121,PT,12,0.521739,0.362319,0.115942
122,GB,15,0.603774,0.245283,0.150943
123,DB,12,0.577465,0.28169,0.140845
124,MB,12,0.375,0.5,0.125
125,FB,12,0.705882,0.215686,0.078431
126,JF,15,1,0,0
127,MR,12,0.528571,0.371429,0.1
128,LB,16,0.587302,0.285714,0.126984
129,DP,19,0.507463,0.373134,0.119403
130,JF,16,0.452632,0.463158,0.084211
131,FB,13,0.611111,0.277778,0.111111
132,GB,16,0.346535,0.524752,0.128713
133,MB,13,0.422535,0.380282,0.197183
134,PT,13,0.422535,0.394366,0.183099
135,DP,20,0.426471,0.455882,0.117647
136,FB,14,0.659574,0.212766,0.12766
137,JF,17,0.405797,0.478261,0.115942
138,PT,14,0.348315,0.561798,0.089888
139,DB,13,0.714286,0.196429,0.089286
140,LB,17,0.575758,0.348485,0.075758
141,GB,17,0.265957,0.606383,0.12766
142,JF,18,0.492754,0.42029,0.086957
143,FB,15,0.636364,0.309091,0.054545
144,PT,15,0.413793,0.436782,0.149425
145,DB,14,0.478261,0.376812,0.144928
146,DP,21,0.444444,0.481481,0.074074
147,FB,16,0.454545,0.418182,0.127273
148,JW,16,0.5,0.416667,0.083333
149,GB,18,0.268041,0.628866,0.103093
150,DB,15,0.305556,0.486111,0.208333
151,FB,17,0.283582,0.552239,0.164179
152,JW,17,0.345455,0.490909,0.163636
153,GB,19,0.490196,0.372549,0.137255
154,PT,16,0.472973,0.418919,0.108108
155,DB,16,0.701754,0.210526,0.087719
156,LB,18,0.296296,0.54321,0.160494
157,FB,18,0.807692,0.192308,0
158,JF,19,0.764706,0.117647,0.117647
159,MR,13,0.511628,0.325581,0.162791
160,GB,20,0.396825,0.507937,0.095238
161,PT,17,0.607843,0.27451,0.117647
162,LB,19,0.315789,0.552632,0.131579
163,MR,14,0.574468,0.276596,0.148936
164,JF,20,0.329787,0.56383,0.106383
165,JW,20,0.421053,0.385965,0.192982
166,GB,21,0.565217,0.282609,0.152174
167,JW,21,0.7,0.2,0.1
168,JF,21,0.181818,0.677686,0.140496
169,FB,19,0.22069,0.662069,0.117241
170,MR,15,0.3125,0.570312,0.117188
171,PT,18,0.231884,0.572464,0.195652
172,LB,21,0.26087,0.623188,0.115942
173,FB,20,0.229508,0.622951,0.147541
174,JW,22,0.261261,0.603604,0.135135
175,FB,21,0.358974,0.435897,0.205128
176,JF,22,0.382716,0.345679,0.271605
177,MR,16,0.506667,0.32,0.173333
178,LB,22,0.329114,0.417722,0.253165
179,MR,17,0.421875,0.296875,0.28125
180,DB,17,0.526316,0.236842,0.236842
181,MR,18,0.451613,0.376344,0.172043
